"","Barrio","Clase.de.sitio","Código.DANE","New.DANE","EncBarrios","NewSitio"
"117","MONSERRATE","VIAS PUBLICAS","ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES","13","63","1"
"118","GAMMA V","CENTRO COMERCIAL","ARTÍCULO 239. HURTO ENTIDADES COMERCIALES","3","64","15"
"119","PLAZA CIVICA CIUDAD VICTORIA","VIAS PUBLICAS","ARTÍCULO 286. FALSEDAD IDEOLÓGICA EN DOCUMENTO PÚBLICO","24","57","1"
"120","PARQUE GUADALUPE ZAPATA","PARQUES","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","65","16"
"121","TERMINAL DE TRANSPORTES","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","2","1"
"122","PRIMERO DE FEBRERO 1","CASAS DE HABITACION","ARTÍCULO 239. HURTO RESIDENCIAS","21","31","6"
"123","SECTOR GALERIA CENTRAL","ALMACENES","ARTÍCULO 239. HURTO ENTIDADES COMERCIALES","3","19","3"
"124","EL DORADO","CASAS DE HABITACION","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","40","6"
"125","COROCITO","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","14","1"
"126","SECTOR AV 30 AGO ENTRE CL 37 Y 41","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","66","1"
"127","SAMARIA II","VIAS PUBLICAS","ARTÍCULO 111. LESIONES PERSONALES","11","67","1"
"128","SAMARIA II","VIAS PUBLICAS","ARTÍCULO 111. LESIONES PERSONALES","11","67","1"
"129","GAMMA V","VIAS PUBLICAS","ARTÍCULO 233. INASISTENCIA ALIMENTARIA.","20","64","1"
"130","BYRON GAVIRIA","VIAS PUBLICAS","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","68","1"
"131","BOSTON","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","38","1"
"132","LENINGRADO III","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","50","1"
"133","KENNEDY","VIAS PUBLICAS","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","60","1"
"134","KENNEDY","VIAS PUBLICAS","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","60","1"
"135","RESTREPO","VIAS PUBLICAS","ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES","13","69","1"
"136","SAN JUAN","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","11","1"
"137","CUBA V-8","VIAS PUBLICAS","ARTÍCULO 103. HOMICIDIO","15","58","1"
"138","SECTOR CARCEL LA 40","VIAS PUBLICAS","ARTÍCULO 103. HOMICIDIO","15","54","1"
"139","SAN JORGE","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","37","1"
"140","SAN JORGE","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","37","1"
"141","LAS PALMAS RIO OTUN","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","70","1"
"142","LA PALMERA","VIAS PUBLICAS","ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES","13","48","1"
"143","SECTOR CARCEL LA 40","VIAS PUBLICAS","ARTÍCULO 239. HURTO ENTIDADES COMERCIALES","3","54","1"
"144","SECTOR CARCEL LA 40","VIAS PUBLICAS","ARTÍCULO 239. HURTO ENTIDADES COMERCIALES","3","54","1"
